"Daily Weather Observations for Perth, Western Australia for December 2022"
"Prepared at 08:20 UTC on Sunday 25 December 2022   IDCJDW6111.202212"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"A combination of observations from Mount Lawley and Perth Airport."
"Significant variations can be experienced across the Perth metropolitan area on individual days. On average the inner city area is warmer overnight than the current observation sites. The current official Perth observation site is Perth Metro, however in the past Perth Regional Office and Perth Gardens have been official Perth observation sites.Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Perth Metro {station 009225}"
"Cloud, evaporation and sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-12-1,19.6,23.2,0,8.2,1.1,WSW,31,14:38,21.1,70,8,WSW,11,1009.4,21.5,65,7,SW,17,1009.1
,2022-12-2,15.3,23.7,0,4.8,8.8,SSW,33,15:59,18.8,67,7,SE,9,1010.5,23.0,49,0,SSW,15,1009.3
,2022-12-3,15.6,27.4,0,6.2,12.6,SW,43,16:44,21.6,54,7,ENE,9,1012.0,26.4,49,1,SW,17,1009.6
,2022-12-4,17.1,30.2,0,8.2,12.8,SE,39,11:47,23.3,50,1,ESE,17,1014.3,28.5,35,5,SE,17,1011.0
,2022-12-5,15.5,28.3,0,7.8,11.4,SSW,41,16:30,21.9,58,1,SE,11,1013.3,24.5,52,6,SW,20,1010.7
,2022-12-6,17.1,26.3,0,7.4,10.2,SSW,41,16:14,19.9,63,7,SE,17,1015.2,24.4,45,4,SSW,20,1012.6
,2022-12-7,14.6,31.7,0,8.6,12.8,SSW,44,22:12,20.9,47,1,ESE,13,1013.7,30.8,28,2,ESE,11,1007.2
,2022-12-8,19.0,25.8,0,9.6,12.0,SSE,41,00:55,24.3,46,1,WSW,11,1008.1,22.8,59,4,SW,20,1009.0
,2022-12-9,16.9,24.1,0,6.4,10.6,SW,43,15:34,19.7,51,7,S,11,1013.2,22.1,44,1,SW,19,1012.8
,2022-12-10,13.0,25.4,0,8.0,13.0,SW,39,13:14,20.3,44,1,SE,15,1018.9,23.4,29,3,SW,17,1017.7
,2022-12-11,14.4,27.8,0,9.2,13.1,SW,35,17:48,20.5,46,1,E,13,1021.2,26.6,22,0,SSE,13,1017.6
,2022-12-12,14.0,29.5,0,8.8,13.1,ESE,39,23:02,20.4,43,0,E,13,1019.5,28.4,22,1,SE,17,1015.0
,2022-12-13,14.9,22.9,0,10.8,4.6,NNE,46,01:02,14.9,66,8,E,11,1016.1,21.6,53,5,E,13,1014.4
,2022-12-14,14.4,30.7,1.0,4.0,13.1,E,35,23:11,21.4,46,0,E,13,1015.1,29.5,34,1,SW,15,1011.0
,2022-12-15,17.2,31.1,0,8.4,12.1,ESE,41,23:44,24.4,44,1,SE,11,1012.9,29.3,36,2,SSE,15,1009.8
,2022-12-16,15.9,30.6,0,8.8,12.9,ESE,37,14:03,22.6,47,0,ESE,13,1015.4,29.1,23,1,E,13,1011.3
,2022-12-17,16.2,31.0,0,10.8,12.6,NE,37,00:24,23.1,47,0,ENE,13,1014.1,29.9,33,3,SSW,17,1010.6
,2022-12-18,18.5,33.1,0,10.2,11.6,SSW,35,16:21,26.5,40,2,ENE,11,1011.7,31.7,20,3,ESE,11,1007.8
,2022-12-19,19.8,36.3,0,10.2,11.8,NE,35,07:59,29.2,26,1,NE,13,1009.5,35.8,18,4,E,11,1006.2
,2022-12-20,21.0,,0,11.6,13.1,,,,30.5,23,0,NE,9,1010.4,35.2,18,1,S,19,1008.1
,2022-12-21,,,,14.4,12.0,,,,25.3,36,1,E,9,1011.0,31.2,27,6,WSW,13,1009.0
,2022-12-22,,36.2,,12.2,13.0,ENE,35,05:42,26.7,41,0,ENE,11,1011.3,35.6,19,2,SW,17,1008.6
,2022-12-23,20.4,36.8,0,10.8,13.3,SW,30,12:13,30.3,25,1,NNE,13,1011.7,33.6,19,0,SW,17,1009.2
,2022-12-24,18.2,31.8,0,11.8,13.3,SW,35,18:24,28.9,33,0,WSW,7,1008.8,29.1,44,0,SSW,15,1007.7
,2022-12-25,17.4,,0,9.8,,,,,24.2,51,1,ESE,9,1009.2,28.3,42,0,WSW,15,1007.5